train_number,line_number,current_timestamp,current_station,current_passenger,next_station,next_station_time_arrived
2_3,2,2024-01-01 06:24:00,3,0,4,2024-01-01 06:30:00
2_3,2,2024-01-01 06:30:00,4,0,5,2024-01-01 06:36:00
2_3,2,2024-01-01 06:36:00,5,0,6,2024-01-01 06:42:00
2_3,2,2024-01-01 06:42:00,6,0,0,0
3_3,3,2024-01-01 06:12:00,1,0,2,2024-01-01 06:18:00
3_3,3,2024-01-01 06:18:00,2,0,3,2024-01-01 06:24:00
3_3,3,2024-01-01 06:24:00,3,0,4,2024-01-01 06:30:00
3_3,3,2024-01-01 06:30:00,4,0,5,2024-01-01 06:36:00
3_3,3,2024-01-01 06:36:00,5,0,6,2024-01-01 06:42:00
3_3,3,2024-01-01 06:42:00,6,0,0,0
4_3,4,2024-01-01 06:12:00,1,0,2,2024-01-01 06:18:00
4_3,4,2024-01-01 06:18:00,2,0,3,2024-01-01 06:24:00
4_3,4,2024-01-01 06:24:00,3,0,4,2024-01-01 06:30:00
4_3,4,2024-01-01 06:30:00,4,0,5,2024-01-01 06:36:00
4_3,4,2024-01-01 06:36:00,5,0,6,2024-01-01 06:42:00
4_3,4,2024-01-01 06:42:00,6,0,0,0
1_4,1,2024-01-01 06:18:00,1,0,2,2024-01-01 06:24:00
1_4,1,2024-01-01 06:24:00,2,0,3,2024-01-01 06:30:00
1_4,1,2024-01-01 06:30:00,3,0,4,2024-01-01 06:36:00
1_4,1,2024-01-01 06:36:00,4,0,5,2024-01-01 06:42:00
1_4,1,2024-01-01 06:42:00,5,0,6,2024-01-01 06:48:00
1_4,1,2024-01-01 06:48:00,6,0,0,0
2_4,2,2024-01-01 06:18:00,1,0,2,2024-01-01 06:24:00
2_4,2,2024-01-01 06:24:00,2,0,3,2024-01-01 06:30:00
2_4,2,2024-01-01 06:30:00,3,0,4,2024-01-01 06:36:00
2_4,2,2024-01-01 06:36:00,4,0,5,2024-01-01 06:42:00
2_4,2,2024-01-01 06:42:00,5,0,6,2024-01-01 06:48:00
2_4,2,2024-01-01 06:48:00,6,0,0,0
3_4,3,2024-01-01 06:18:00,1,0,2,2024-01-01 06:24:00
3_4,3,2024-01-01 06:24:00,2,0,3,2024-01-01 06:30:00
3_4,3,2024-01-01 06:30:00,3,0,4,2024-01-01 06:36:00
3_4,3,2024-01-01 06:36:00,4,0,5,2024-01-01 06:42:00
3_4,3,2024-01-01 06:42:00,5,0,6,2024-01-01 06:48:00
3_4,3,2024-01-01 06:48:00,6,0,0,0
4_4,4,2024-01-01 06:18:00,1,0,2,2024-01-01 06:24:00
4_4,4,2024-01-01 06:24:00,2,0,3,2024-01-01 06:30:00
4_4,4,2024-01-01 06:30:00,3,0,4,2024-01-01 06:36:00
4_4,4,2024-01-01 06:36:00,4,0,5,2024-01-01 06:42:00
4_4,4,2024-01-01 06:42:00,5,0,6,2024-01-01 06:48:00
4_4,4,2024-01-01 06:48:00,6,0,0,0
1_5,1,2024-01-01 06:24:00,1,0,2,2024-01-01 06:30:00
1_5,1,2024-01-01 06:30:00,2,0,3,2024-01-01 06:36:00
1_5,1,2024-01-01 06:36:00,3,0,4,2024-01-01 06:42:00
1_5,1,2024-01-01 06:42:00,4,0,5,2024-01-01 06:48:00
1_5,1,2024-01-01 06:48:00,5,0,6,2024-01-01 06:54:00
1_5,1,2024-01-01 06:54:00,6,0,0,0
2_5,2,2024-01-01 06:24:00,1,0,2,2024-01-01 06:30:00
2_5,2,2024-01-01 06:30:00,2,0,3,2024-01-01 06:36:00
2_5,2,2024-01-01 06:36:00,3,0,4,2024-01-01 06:42:00
2_5,2,2024-01-01 06:42:00,4,0,5,2024-01-01 06:48:00
2_5,2,2024-01-01 06:48:00,5,0,6,2024-01-01 06:54:00
2_5,2,2024-01-01 06:54:00,6,0,0,0
3_5,3,2024-01-01 06:24:00,1,0,2,2024-01-01 06:30:00
3_5,3,2024-01-01 06:30:00,2,0,3,2024-01-01 06:36:00
3_5,3,2024-01-01 06:36:00,3,0,4,2024-01-01 06:42:00
3_5,3,2024-01-01 06:42:00,4,0,5,2024-01-01 06:48:00
3_5,3,2024-01-01 06:48:00,5,0,6,2024-01-01 06:54:00
3_5,3,2024-01-01 06:54:00,6,0,0,0
4_5,4,2024-01-01 06:24:00,1,0,2,2024-01-01 06:30:00
4_5,4,2024-01-01 06:30:00,2,0,3,2024-01-01 06:36:00
4_5,4,2024-01-01 06:36:00,3,0,4,2024-01-01 06:42:00
4_5,4,2024-01-01 06:42:00,4,0,5,2024-01-01 06:48:00
4_5,4,2024-01-01 06:48:00,5,0,6,2024-01-01 06:54:00
4_5,4,2024-01-01 06:54:00,6,0,0,0
1_6,1,2024-01-01 06:30:00,1,0,2,2024-01-01 06:36:00
1_6,1,2024-01-01 06:36:00,2,0,3,2024-01-01 06:42:00
1_6,1,2024-01-01 06:42:00,3,0,4,2024-01-01 06:48:00
1_6,1,2024-01-01 06:48:00,4,0,5,2024-01-01 06:54:00
1_6,1,2024-01-01 06:54:00,5,0,6,2024-01-01 07:00:00
1_6,1,2024-01-01 07:00:00,6,0,0,0
2_6,2,2024-01-01 06:30:00,1,0,2,2024-01-01 06:36:00
2_6,2,2024-01-01 06:36:00,2,0,3,2024-01-01 06:42:00
2_6,2,2024-01-01 06:42:00,3,0,4,2024-01-01 06:48:00
2_6,2,2024-01-01 06:48:00,4,0,5,2024-01-01 06:54:00
2_6,2,2024-01-01 06:54:00,5,0,6,2024-01-01 07:00:00
2_6,2,2024-01-01 07:00:00,6,0,0,0
3_6,3,2024-01-01 06:30:00,1,0,2,2024-01-01 06:36:00
3_6,3,2024-01-01 06:36:00,2,0,3,2024-01-01 06:42:00
3_6,3,2024-01-01 06:42:00,3,0,4,2024-01-01 06:48:00
3_6,3,2024-01-01 06:48:00,4,0,5,2024-01-01 06:54:00
3_6,3,2024-01-01 06:54:00,5,0,6,2024-01-01 07:00:00
3_6,3,2024-01-01 07:00:00,6,0,0,0
4_6,4,2024-01-01 06:30:00,1,0,2,2024-01-01 06:36:00
4_6,4,2024-01-01 06:36:00,2,0,3,2024-01-01 06:42:00
4_6,4,2024-01-01 06:42:00,3,0,4,2024-01-01 06:48:00
4_6,4,2024-01-01 06:48:00,4,0,5,2024-01-01 06:54:00
4_6,4,2024-01-01 06:54:00,5,0,6,2024-01-01 07:00:00
4_6,4,2024-01-01 07:00:00,6,0,0,0
1_7,1,2024-01-01 06:36:00,1,0,2,2024-01-01 06:42:00
1_7,1,2024-01-01 06:42:00,2,0,3,2024-01-01 06:48:00
1_7,1,2024-01-01 06:48:00,3,0,4,2024-01-01 06:54:00
1_7,1,2024-01-01 06:54:00,4,0,5,2024-01-01 07:00:00
1_7,1,2024-01-01 07:00:00,5,0,6,2024-01-01 07:06:00
1_7,1,2024-01-01 07:06:00,6,0,0,0
2_7,2,2024-01-01 06:36:00,1,0,2,2024-01-01 06:42:00
2_7,2,2024-01-01 06:42:00,2,0,3,2024-01-01 06:48:00
2_7,2,2024-01-01 06:48:00,3,0,4,2024-01-01 06:54:00
2_7,2,2024-01-01 06:54:00,4,0,5,2024-01-01 07:00:00
2_7,2,2024-01-01 07:00:00,5,0,6,2024-01-01 07:06:00
2_7,2,2024-01-01 07:06:00,6,0,0,0
3_7,3,2024-01-01 06:36:00,1,0,2,2024-01-01 06:42:00
3_7,3,2024-01-01 06:42:00,2,0,3,2024-01-01 06:48:00
3_7,3,2024-01-01 06:48:00,3,0,4,2024-01-01 06:54:00
3_7,3,2024-01-01 06:54:00,4,0,5,2024-01-01 07:00:00
3_7,3,2024-01-01 07:00:00,5,0,6,2024-01-01 07:06:00
3_7,3,2024-01-01 07:06:00,6,0,0,0
4_7,4,2024-01-01 06:36:00,1,0,2,2024-01-01 06:42:00
4_7,4,2024-01-01 06:42:00,2,0,3,2024-01-01 06:48:00
4_7,4,2024-01-01 06:48:00,3,0,4,2024-01-01 06:54:00
4_7,4,2024-01-01 06:54:00,4,0,5,2024-01-01 07:00:00
4_7,4,2024-01-01 07:00:00,5,0,6,2024-01-01 07:06:00
4_7,4,2024-01-01 07:06:00,6,0,0,0
1_8,1,2024-01-01 06:42:00,1,0,2,2024-01-01 06:48:00
1_8,1,2024-01-01 06:48:00,2,0,3,2024-01-01 06:54:00
1_8,1,2024-01-01 06:54:00,3,0,4,2024-01-01 07:00:00
1_8,1,2024-01-01 07:00:00,4,0,5,2024-01-01 07:06:00
1_8,1,2024-01-01 07:06:00,5,0,6,2024-01-01 07:12:00
1_8,1,2024-01-01 07:12:00,6,0,0,0
2_8,2,2024-01-01 06:42:00,1,0,2,2024-01-01 06:48:00
2_8,2,2024-01-01 06:48:00,2,0,3,2024-01-01 06:54:00
2_8,2,2024-01-01 06:54:00,3,0,4,2024-01-01 07:00:00
2_8,2,2024-01-01 07:00:00,4,0,5,2024-01-01 07:06:00
2_8,2,2024-01-01 07:06:00,5,0,6,2024-01-01 07:12:00
2_8,2,2024-01-01 07:12:00,6,0,0,0
3_8,3,2024-01-01 06:42:00,1,0,2,2024-01-01 06:48:00
3_8,3,2024-01-01 06:48:00,2,0,3,2024-01-01 06:54:00
3_8,3,2024-01-01 06:54:00,3,0,4,2024-01-01 07:00:00
3_8,3,2024-01-01 07:00:00,4,0,5,2024-01-01 07:06:00
3_8,3,2024-01-01 07:06:00,5,0,6,2024-01-01 07:12:00
3_8,3,2024-01-01 07:12:00,6,0,0,0
4_8,4,2024-01-01 06:42:00,1,0,2,2024-01-01 06:48:00
4_8,4,2024-01-01 06:48:00,2,0,3,2024-01-01 06:54:00
4_8,4,2024-01-01 06:54:00,3,0,4,2024-01-01 07:00:00
4_8,4,2024-01-01 07:00:00,4,0,5,2024-01-01 07:06:00
4_8,4,2024-01-01 07:06:00,5,0,6,2024-01-01 07:12:00
4_8,4,2024-01-01 07:12:00,6,0,0,0
1_9,1,2024-01-01 06:48:00,1,0,2,2024-01-01 06:54:00
1_9,1,2024-01-01 06:54:00,2,0,3,2024-01-01 07:00:00
1_9,1,2024-01-01 07:00:00,3,0,4,2024-01-01 07:06:00
1_9,1,2024-01-01 07:06:00,4,0,5,2024-01-01 07:12:00
1_9,1,2024-01-01 07:12:00,5,0,6,2024-01-01 07:18:00
1_9,1,2024-01-01 07:18:00,6,0,0,0
2_9,2,2024-01-01 06:48:00,1,0,2,2024-01-01 06:54:00
2_9,2,2024-01-01 06:54:00,2,0,3,2024-01-01 07:00:00
2_9,2,2024-01-01 07:00:00,3,0,4,2024-01-01 07:06:00
2_9,2,2024-01-01 07:06:00,4,0,5,2024-01-01 07:12:00
2_9,2,2024-01-01 07:12:00,5,0,6,2024-01-01 07:18:00
2_9,2,2024-01-01 07:18:00,6,0,0,0
3_9,3,2024-01-01 06:48:00,1,0,2,2024-01-01 06:54:00
3_9,3,2024-01-01 06:54:00,2,0,3,2024-01-01 07:00:00
3_9,3,2024-01-01 07:00:00,3,0,4,2024-01-01 07:06:00
3_9,3,2024-01-01 07:06:00,4,0,5,2024-01-01 07:12:00
3_9,3,2024-01-01 07:12:00,5,0,6,2024-01-01 07:18:00
3_9,3,2024-01-01 07:18:00,6,0,0,0
4_9,4,2024-01-01 06:48:00,1,0,2,2024-01-01 06:54:00
4_9,4,2024-01-01 06:54:00,2,0,3,2024-01-01 07:00:00
4_9,4,2024-01-01 07:00:00,3,0,4,2024-01-01 07:06:00
4_9,4,2024-01-01 07:06:00,4,0,5,2024-01-01 07:12:00
4_9,4,2024-01-01 07:12:00,5,0,6,2024-01-01 07:18:00
4_9,4,2024-01-01 07:18:00,6,0,0,0
1_10,1,2024-01-01 06:54:00,1,0,2,2024-01-01 07:00:00
1_10,1,2024-01-01 07:00:00,2,0,3,2024-01-01 07:06:00
1_10,1,2024-01-01 07:06:00,3,0,4,2024-01-01 07:12:00
1_10,1,2024-01-01 07:12:00,4,0,5,2024-01-01 07:18:00
1_10,1,2024-01-01 07:18:00,5,0,6,2024-01-01 07:24:00
1_10,1,2024-01-01 07:24:00,6,0,0,0
2_10,2,2024-01-01 06:54:00,1,0,2,2024-01-01 07:00:00
2_10,2,2024-01-01 07:00:00,2,0,3,2024-01-01 07:06:00
2_10,2,2024-01-01 07:06:00,3,0,4,2024-01-01 07:12:00
2_10,2,2024-01-01 07:12:00,4,0,5,2024-01-01 07:18:00
2_10,2,2024-01-01 07:18:00,5,0,6,2024-01-01 07:24:00
2_10,2,2024-01-01 07:24:00,6,0,0,0
3_10,3,2024-01-01 06:54:00,1,0,2,2024-01-01 07:00:00
3_10,3,2024-01-01 07:00:00,2,0,3,2024-01-01 07:06:00
3_10,3,2024-01-01 07:06:00,3,0,4,2024-01-01 07:12:00
3_10,3,2024-01-01 07:12:00,4,0,5,2024-01-01 07:18:00
3_10,3,2024-01-01 07:18:00,5,0,6,2024-01-01 07:24:00
3_10,3,2024-01-01 07:24:00,6,0,0,0
4_10,4,2024-01-01 06:54:00,1,0,2,2024-01-01 07:00:00
4_10,4,2024-01-01 07:00:00,2,0,3,2024-01-01 07:06:00
4_10,4,2024-01-01 07:06:00,3,0,4,2024-01-01 07:12:00
4_10,4,2024-01-01 07:12:00,4,0,5,2024-01-01 07:18:00
4_10,4,2024-01-01 07:18:00,5,0,6,2024-01-01 07:24:00
4_10,4,2024-01-01 07:24:00,6,0,0,0
1_11,1,2024-01-01 07:00:00,1,0,2,2024-01-01 07:06:00
1_11,1,2024-01-01 07:06:00,2,0,3,2024-01-01 07:12:00
1_11,1,2024-01-01 07:12:00,3,0,4,2024-01-01 07:18:00
1_11,1,2024-01-01 07:18:00,4,0,5,2024-01-01 07:24:00
1_11,1,2024-01-01 07:24:00,5,0,6,2024-01-01 07:30:00
1_11,1,2024-01-01 07:30:00,6,0,0,0
2_11,2,2024-01-01 07:00:00,1,0,2,2024-01-01 07:06:00
2_11,2,2024-01-01 07:06:00,2,0,3,2024-01-01 07:12:00
2_11,2,2024-01-01 07:12:00,3,0,4,2024-01-01 07:18:00
2_11,2,2024-01-01 07:18:00,4,0,5,2024-01-01 07:24:00
2_11,2,2024-01-01 07:24:00,5,0,6,2024-01-01 07:30:00
2_11,2,2024-01-01 07:30:00,6,0,0,0
3_11,3,2024-01-01 07:00:00,1,0,2,2024-01-01 07:06:00
3_11,3,2024-01-01 07:06:00,2,0,3,2024-01-01 07:12:00
3_11,3,2024-01-01 07:12:00,3,0,4,2024-01-01 07:18:00
3_11,3,2024-01-01 07:18:00,4,0,5,2024-01-01 07:24:00
3_11,3,2024-01-01 07:24:00,5,0,6,2024-01-01 07:30:00
3_11,3,2024-01-01 07:30:00,6,0,0,0
4_11,4,2024-01-01 07:00:00,1,0,2,2024-01-01 07:06:00
4_11,4,2024-01-01 07:06:00,2,0,3,2024-01-01 07:12:00
4_11,4,2024-01-01 07:12:00,3,0,4,2024-01-01 07:18:00
4_11,4,2024-01-01 07:18:00,4,0,5,2024-01-01 07:24:00
4_11,4,2024-01-01 07:24:00,5,0,6,2024-01-01 07:30:00
4_11,4,2024-01-01 07:30:00,6,0,0,0
1_12,1,2024-01-01 07:06:00,1,0,2,2024-01-01 07:12:00
1_12,1,2024-01-01 07:12:00,2,0,3,2024-01-01 07:18:00
1_12,1,2024-01-01 07:18:00,3,0,4,2024-01-01 07:24:00
1_12,1,2024-01-01 07:24:00,4,0,5,2024-01-01 07:30:00
1_12,1,2024-01-01 07:30:00,5,0,6,2024-01-01 07:36:00
1_12,1,2024-01-01 07:36:00,6,0,0,0
2_12,2,2024-01-01 07:06:00,1,0,2,2024-01-01 07:12:00
2_12,2,2024-01-01 07:12:00,2,0,3,2024-01-01 07:18:00
2_12,2,2024-01-01 07:18:00,3,0,4,2024-01-01 07:24:00
2_12,2,2024-01-01 07:24:00,4,0,5,2024-01-01 07:30:00
2_12,2,2024-01-01 07:30:00,5,0,6,2024-01-01 07:36:00
2_12,2,2024-01-01 07:36:00,6,0,0,0
3_12,3,2024-01-01 07:06:00,1,0,2,2024-01-01 07:12:00
3_12,3,2024-01-01 07:12:00,2,0,3,2024-01-01 07:18:00
3_12,3,2024-01-01 07:18:00,3,0,4,2024-01-01 07:24:00
3_12,3,2024-01-01 07:24:00,4,0,5,2024-01-01 07:30:00
3_12,3,2024-01-01 07:30:00,5,0,6,2024-01-01 07:36:00
3_12,3,2024-01-01 07:36:00,6,0,0,0
4_12,4,2024-01-01 07:06:00,1,0,2,2024-01-01 07:12:00
4_12,4,2024-01-01 07:12:00,2,0,3,2024-01-01 07:18:00
4_12,4,2024-01-01 07:18:00,3,0,4,2024-01-01 07:24:00
4_12,4,2024-01-01 07:24:00,4,0,5,2024-01-01 07:30:00
4_12,4,2024-01-01 07:30:00,5,0,6,2024-01-01 07:36:00
4_12,4,2024-01-01 07:36:00,6,0,0,0
1_13,1,2024-01-01 07:12:00,1,0,2,2024-01-01 07:18:00
1_13,1,2024-01-01 07:18:00,2,0,3,2024-01-01 07:24:00
1_13,1,2024-01-01 07:24:00,3,0,4,2024-01-01 07:30:00
1_13,1,2024-01-01 07:30:00,4,0,5,2024-01-01 07:36:00
1_13,1,2024-01-01 07:36:00,5,0,6,2024-01-01 07:42:00
1_13,1,2024-01-01 07:42:00,6,0,0,0
2_13,2,2024-01-01 07:12:00,1,0,2,2024-01-01 07:18:00
2_13,2,2024-01-01 07:18:00,2,0,3,2024-01-01 07:24:00
2_13,2,2024-01-01 07:24:00,3,0,4,2024-01-01 07:30:00
2_13,2,2024-01-01 07:30:00,4,0,5,2024-01-01 07:36:00
2_13,2,2024-01-01 07:36:00,5,0,6,2024-01-01 07:42:00
2_13,2,2024-01-01 07:42:00,6,0,0,0
3_13,3,2024-01-01 07:12:00,1,0,2,2024-01-01 07:18:00
3_13,3,2024-01-01 07:18:00,2,0,3,2024-01-01 07:24:00
3_13,3,2024-01-01 07:24:00,3,0,4,2024-01-01 07:30:00
3_13,3,2024-01-01 07:30:00,4,0,5,2024-01-01 07:36:00
3_13,3,2024-01-01 07:36:00,5,0,6,2024-01-01 07:42:00
3_13,3,2024-01-01 07:42:00,6,0,0,0
4_13,4,2024-01-01 07:12:00,1,0,2,2024-01-01 07:18:00
4_13,4,2024-01-01 07:18:00,2,0,3,2024-01-01 07:24:00
4_13,4,2024-01-01 07:24:00,3,0,4,2024-01-01 07:30:00
4_13,4,2024-01-01 07:30:00,4,0,5,2024-01-01 07:36:00
4_13,4,2024-01-01 07:36:00,5,0,6,2024-01-01 07:42:00
4_13,4,2024-01-01 07:42:00,6,0,0,0
1_14,1,2024-01-01 07:18:00,1,0,2,2024-01-01 07:24:00
1_14,1,2024-01-01 07:24:00,2,0,3,2024-01-01 07:30:00
1_14,1,2024-01-01 07:30:00,3,0,4,2024-01-01 07:36:00
1_14,1,2024-01-01 07:36:00,4,0,5,2024-01-01 07:42:00
1_14,1,2024-01-01 07:42:00,5,0,6,2024-01-01 07:48:00
1_14,1,2024-01-01 07:48:00,6,0,0,0
2_14,2,2024-01-01 07:18:00,1,0,2,2024-01-01 07:24:00
2_14,2,2024-01-01 07:24:00,2,0,3,2024-01-01 07:30:00
2_14,2,2024-01-01 07:30:00,3,0,4,2024-01-01 07:36:00
2_14,2,2024-01-01 07:36:00,4,0,5,2024-01-01 07:42:00
2_14,2,2024-01-01 07:42:00,5,0,6,2024-01-01 07:48:00
2_14,2,2024-01-01 07:48:00,6,0,0,0
3_14,3,2024-01-01 07:18:00,1,0,2,2024-01-01 07:24:00
3_14,3,2024-01-01 07:24:00,2,0,3,2024-01-01 07:30:00
3_14,3,2024-01-01 07:30:00,3,0,4,2024-01-01 07:36:00
3_14,3,2024-01-01 07:36:00,4,0,5,2024-01-01 07:42:00
3_14,3,2024-01-01 07:42:00,5,0,6,2024-01-01 07:48:00
3_14,3,2024-01-01 07:48:00,6,0,0,0
4_14,4,2024-01-01 07:18:00,1,0,2,2024-01-01 07:24:00
4_14,4,2024-01-01 07:24:00,2,0,3,2024-01-01 07:30:00
4_14,4,2024-01-01 07:30:00,3,0,4,2024-01-01 07:36:00
4_14,4,2024-01-01 07:36:00,4,0,5,2024-01-01 07:42:00
4_14,4,2024-01-01 07:42:00,5,0,6,2024-01-01 07:48:00
4_14,4,2024-01-01 07:48:00,6,0,0,0
1_15,1,2024-01-01 07:24:00,1,0,2,2024-01-01 07:30:00
1_15,1,2024-01-01 07:30:00,2,0,3,2024-01-01 07:36:00
1_15,1,2024-01-01 07:36:00,3,0,4,2024-01-01 07:42:00
1_15,1,2024-01-01 07:42:00,4,0,5,2024-01-01 07:48:00
1_15,1,2024-01-01 07:48:00,5,0,6,2024-01-01 07:54:00
1_15,1,2024-01-01 07:54:00,6,0,0,0
2_15,2,2024-01-01 07:24:00,1,0,2,2024-01-01 07:30:00
2_15,2,2024-01-01 07:30:00,2,0,3,2024-01-01 07:36:00
2_15,2,2024-01-01 07:36:00,3,0,4,2024-01-01 07:42:00
2_15,2,2024-01-01 07:42:00,4,0,5,2024-01-01 07:48:00
2_15,2,2024-01-01 07:48:00,5,0,6,2024-01-01 07:54:00
2_15,2,2024-01-01 07:54:00,6,0,0,0
3_15,3,2024-01-01 07:24:00,1,0,2,2024-01-01 07:30:00
3_15,3,2024-01-01 07:30:00,2,0,3,2024-01-01 07:36:00
3_15,3,2024-01-01 07:36:00,3,0,4,2024-01-01 07:42:00
3_15,3,2024-01-01 07:42:00,4,0,5,2024-01-01 07:48:00
3_15,3,2024-01-01 07:48:00,5,0,6,2024-01-01 07:54:00
3_15,3,2024-01-01 07:54:00,6,0,0,0
4_15,4,2024-01-01 07:24:00,1,0,2,2024-01-01 07:30:00
4_15,4,2024-01-01 07:30:00,2,0,3,2024-01-01 07:36:00
4_15,4,2024-01-01 07:36:00,3,0,4,2024-01-01 07:42:00
4_15,4,2024-01-01 07:42:00,4,0,5,2024-01-01 07:48:00
4_15,4,2024-01-01 07:48:00,5,0,6,2024-01-01 07:54:00
4_15,4,2024-01-01 07:54:00,6,0,0,0
1_16,1,2024-01-01 07:30:00,1,0,2,2024-01-01 07:36:00
1_16,1,2024-01-01 07:36:00,2,0,3,2024-01-01 07:42:00
1_16,1,2024-01-01 07:42:00,3,0,4,2024-01-01 07:48:00
1_16,1,2024-01-01 07:48:00,4,0,5,2024-01-01 07:54:00
1_16,1,2024-01-01 07:54:00,5,0,6,2024-01-01 08:00:00
1_16,1,2024-01-01 08:00:00,6,0,0,0
2_16,2,2024-01-01 07:30:00,1,0,2,2024-01-01 07:36:00
2_16,2,2024-01-01 07:36:00,2,0,3,2024-01-01 07:42:00
2_16,2,2024-01-01 07:42:00,3,0,4,2024-01-01 07:48:00
2_16,2,2024-01-01 07:48:00,4,0,5,2024-01-01 07:54:00
2_16,2,2024-01-01 07:54:00,5,0,6,2024-01-01 08:00:00
2_16,2,2024-01-01 08:00:00,6,0,0,0
3_16,3,2024-01-01 07:30:00,1,0,2,2024-01-01 07:36:00
3_16,3,2024-01-01 07:36:00,2,0,3,2024-01-01 07:42:00
3_16,3,2024-01-01 07:42:00,3,0,4,2024-01-01 07:48:00
3_16,3,2024-01-01 07:48:00,4,0,5,2024-01-01 07:54:00
3_16,3,2024-01-01 07:54:00,5,0,6,2024-01-01 08:00:00
3_16,3,2024-01-01 08:00:00,6,0,0,0
4_16,4,2024-01-01 07:30:00,1,0,2,2024-01-01 07:36:00
4_16,4,2024-01-01 07:36:00,2,0,3,2024-01-01 07:42:00
4_16,4,2024-01-01 07:42:00,3,0,4,2024-01-01 07:48:00
4_16,4,2024-01-01 07:48:00,4,0,5,2024-01-01 07:54:00
4_16,4,2024-01-01 07:54:00,5,0,6,2024-01-01 08:00:00
4_16,4,2024-01-01 08:00:00,6,0,0,0
